case_id,candidate,dice,precision,recall,pred_voxels,target_voxels,overlap_voxels,detected
case_0015,fusion_w0.70_t0.45,0.358705161853199,0.9999999999756097,0.21855010660864313,410,1876,410,1.0
case_0015,fusion_w0.70_t0.50,0.3022624434375463,0.9999999999700598,0.17803837952996782,334,1876,334,1.0
case_0015,fusion_w0.70_t0.55,0.23268959020144753,0.9999999999595142,0.13166311300569478,247,1876,247,1.0
case_0015,fusion_w0.70_t0.60,0.1571709233784029,0.9999999999375,0.08528784648142171,160,1876,160,1.0
case_0015,fusion_w0.70_t0.65,0.04583333333309462,0.9999999997727272,0.02345415778239097,44,1876,44,1.0
case_0015,fusion_w0.80_t0.35,0.5130023640641725,0.9833836857857495,0.3470149253712846,662,1876,651,1.0
case_0015,fusion_w0.80_t0.40,0.47030105776863185,0.9931271477492589,0.30810234541413595,582,1876,578,1.0
case_0015,fusion_w0.80_t0.45,0.4225115497672301,0.9960396039406725,0.2681236673759695,505,1876,503,1.0
case_0015,fusion_w0.80_t0.50,0.37294015611286674,0.9999999999767442,0.22921108741882085,430,1876,430,1.0
case_0015,fusion_w0.80_t0.55,0.32200357781609124,0.9999999999722222,0.19189765458319885,360,1876,360,1.0
case_0015,fusion_w0.80_t0.60,0.2693726937256948,0.9999999999657534,0.15565031982859462,292,1876,292,1.0
case_0015,fusion_w0.80_t0.65,0.20906921240950327,0.9999999999543379,0.11673773987144596,219,1876,219,1.0
case_0018,nnunet,0.8996568750515527,0.8491311216416285,0.9565759031839178,6330,5619,5375,1.0
case_0018,medformer_lcc_t0.25,0.8622881355925176,0.795280324664369,0.9416266239527645,6653,5619,5291,1.0
case_0018,union_t0.25,0.8645914396880431,0.7682201631852189,0.9886100729649606,7231,5619,5555,1.0
case_0018,intersection_t0.25,0.8989534781453706,0.8885605006938655,0.9095924541717217,5752,5619,5111,1.0
case_0018,medformer_lcc_t0.30,0.8650119567899192,0.8059311616459651,0.9334401138976092,6508,5619,5245,1.0
case_0018,union_t0.30,0.8692656959442076,0.7759608665258197,0.9880761701352766,7155,5619,5552,1.0
case_0018,intersection_t0.30,0.8968324190400842,0.8917825092365093,0.9019398469462504,5683,5619,5068,1.0
case_0018,medformer_lcc_t0.35,0.865691600500739,0.816104632838298,0.9216942516445601,6346,5619,5179,1.0
case_0018,union_t0.35,0.8728446579002654,0.782688506070626,0.9864744616462244,7082,5619,5543,1.0
case_0018,intersection_t0.35,0.8937840007126604,0.8957811941349736,0.8917956931822535,5594,5619,5011,1.0
case_0018,medformer_lcc_t0.40,0.8667625412394325,0.8260238632685811,0.9117280654904579,6202,5619,5123,1.0
case_0018,union_t0.40,0.8767231817454628,0.7900899614439667,0.9846947855472776,7003,5619,5533,1.0
case_0018,intersection_t0.40,0.8907427341219135,0.8979924036880124,0.883609183127098,5529,5619,4965,1.0
case_0018,medformer_lcc_t0.45,0.8665181631246859,0.8354534941337594,0.8999822032374089,6053,5619,5057,1.0
case_0018,union_t0.45,0.8798980567052564,0.796309643937154,0.9830930770582255,6937,5619,5524,1.0
case_0018,intersection_t0.45,0.8871215544501697,0.9012118986395498,0.8734650293631012,5446,5619,4908,1.0
case_0018,medformer_lcc_t0.50,0.8672458731530258,0.8472245798661565,0.8882363409843598,5891,5619,4991,1.0
case_0018,union_t0.50,0.8841380414757913,0.8036390101880587,0.9825591742285414,6870,5619,5521,1.0
case_0018,intersection_t0.50,0.883318140382057,0.9054382358420755,0.8622530699397362,5351,5619,4845,1.0
case_0018,medformer_lcc_t0.55,0.8660501981498316,0.8572175732202629,0.8750667378521533,5736,5619,4917,1.0
case_0018,union_t0.55,0.8870824949691049,0.8097267117237589,0.9807794981295946,6806,5619,5511,1.0
case_0018,intersection_t0.55,0.8789410791424956,0.9089353612150021,0.8508631429064765,5260,5619,4781,1.0
case_0018,medformer_lcc_t0.60,0.8628500089166552,0.8647006255569889,0.8610072966704734,5595,5619,4838,1.0
case_0018,union_t0.60,0.8890683029219367,0.8136544997771337,0.9798896600801212,6767,5619,5506,1.0
case_0018,intersection_t0.60,0.8735269555526829,0.9125630089164162,0.83769353977427,5158,5619,4707,1.0
case_0018,medformer_lcc_t0.65,0.858931325409726,0.8760177646171798,0.8424986652414265,5404,5619,4734,1.0
