case_id,candidate,dice,precision,recall,pred_voxels,target_voxels,overlap_voxels,detected
case_0015,fusion_w0.70_t0.45,0.45983379501203075,0.8924731182658606,0.3097014925356626,651,1876,581,1.0
case_0015,fusion_w0.70_t0.50,0.41529605262987135,0.9082733812786281,0.26918976545698725,556,1876,505,1.0
case_0015,fusion_w0.70_t0.55,0.3585554600156554,0.9266666666460741,0.22228144989220533,450,1876,417,1.0
case_0015,fusion_w0.70_t0.60,0.28468142792460605,0.9347181008624712,0.16791044776029898,337,1876,315,1.0
case_0015,fusion_w0.70_t0.65,0.1689320388341314,0.9456521738616493,0.09275053304854611,184,1876,174,1.0
case_0015,fusion_w0.80_t0.35,0.5670688431491587,0.8481953290780446,0.4259061833665997,942,1876,799,1.0
case_0015,fusion_w0.80_t0.40,0.5359380759287286,0.8685782556646526,0.3875266524499599,837,1876,727,1.0
case_0015,fusion_w0.80_t0.45,0.498470948010327,0.8810810810691746,0.34754797441179347,740,1876,652,1.0
case_0015,fusion_w0.80_t0.50,0.4671647660225436,0.890554722625329,0.3166311300622781,667,1876,594,1.0
case_0015,fusion_w0.80_t0.55,0.43181818181642934,0.9047619047465176,0.28358208955072717,588,1876,532,1.0
case_0015,fusion_w0.80_t0.60,0.3924369747882671,0.9265873015689169,0.2489339019176496,504,1876,467,1.0
case_0015,fusion_w0.80_t0.65,0.33201927288509847,0.9312039311810515,0.2020255863528677,407,1876,379,1.0
case_0020,nnunet,0.7018436109340738,0.8997555012210273,0.575299635226081,6135,9595,5520,1.0
case_0020,medformer_lcc_t0.25,0.0,0.0,0.0,6475,9595,0,0.0
case_0020,union_t0.25,0.0,0.0,0.0,6475,9595,0,0.0
case_0020,intersection_t0.25,0.0,0.0,0.0,0,9595,0,0.0
case_0020,medformer_lcc_t0.30,0.0,0.0,0.0,5770,9595,0,0.0
case_0020,union_t0.30,0.7018436109340738,0.8997555012210273,0.575299635226081,6135,9595,5520,1.0
case_0020,intersection_t0.30,0.0,0.0,0.0,0,9595,0,0.0
